City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
2,Puerto Ayora,EC,76.96,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
4,Faanui,PF,82.27,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
9,Bambous Virieux,MU,86.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
15,Victoria,HK,84.25,scattered clouds,22.2855,114.1577,Mini Hotel Central
17,The Valley,AI,76.86,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
20,Pemangkat,ID,85.55,scattered clouds,1.1667,108.9667,Ramah Kost KITA
24,Sao Joao Da Barra,BR,76.23,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
32,Rikitea,PF,79.61,clear sky,-23.1203,-134.9692,People ThankYou
35,Denpasar,ID,87.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
41,Yokadouma,CM,81.1,broken clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
44,Candolim,IN,84.43,few clouds,15.5181,73.7626,Resort Terra Paraiso
46,Boulder City,US,76.59,clear sky,35.9786,-114.8325,Boulder Dam Hotel
47,Carnarvon,AU,84.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
48,Atuona,PF,79.23,scattered clouds,-9.8,-139.0333,Villa Enata
49,Sabang,ID,83.35,clear sky,5.8933,95.3214,Hotel Citra
51,Nhulunbuy,AU,84.81,light rain,-12.2333,136.7667,East Arnhem Real Estate
56,Tual,ID,81.75,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
62,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,Mercure Padang
66,Alofi,NU,81.34,light rain,-19.0595,-169.9187,Taloa Heights
69,Mahebourg,MU,86.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
77,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
78,Kandrian,PG,85.35,light rain,-6.2167,149.55,Kandrian Station
82,Hithadhoo,MV,83.95,clear sky,-0.6,73.0833,Scoop Guest House
87,Sola,VU,82.62,overcast clouds,-13.8833,167.55,Leumerus Bungalows
93,Avarua,CK,77.05,haze,-21.2078,-159.775,Paradise Inn
94,Salalah,OM,86.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
103,Butaritari,KI,80.98,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
109,Nabire,ID,85.35,broken clouds,-3.3667,135.4833,Hotel Nusantara I
110,Kudahuvadhoo,MV,82.18,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
