City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,55.11,62,75,11.5,broken clouds
1,Kahului,US,20.8947,-156.47,75.85,73,40,12.66,scattered clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,76.96,86,100,5.19,light rain
3,Anadyr,RU,64.75,177.4833,7.3,84,40,6.71,light snow
4,Faanui,PF,-16.4833,-151.75,82.27,72,100,12.37,overcast clouds
5,Dalvik,IS,65.9702,-18.5286,41.22,80,100,16.69,overcast clouds
6,San Patricio,US,28.017,-97.5169,66.88,81,52,7.65,broken clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,-11.79,91,5,11.61,clear sky
8,Ushuaia,AR,-54.8,-68.3,60.46,44,100,26.46,overcast clouds
9,Bambous Virieux,MU,-20.3428,57.7575,86.25,70,75,11.5,broken clouds
10,Saint George,US,37.1041,-113.5841,64.94,20,0,10.36,clear sky
11,Clyde River,CA,70.4692,-68.5914,-7.37,77,100,8.05,light snow
12,Cherskiy,RU,68.75,161.3,-6.43,99,100,2.19,overcast clouds
13,Sedkyrkeshch,RU,61.75,50.9167,26.87,54,100,13.42,overcast clouds
14,Hilo,US,19.7297,-155.09,73.13,78,0,8.05,clear sky
15,Victoria,HK,22.2855,114.1577,84.25,88,42,10.0,scattered clouds
16,Chokurdakh,RU,70.6333,147.9167,3.36,95,100,13.76,light snow
17,The Valley,AI,18.217,-63.0578,76.86,76,4,18.72,clear sky
18,Nanortalik,GL,60.1432,-45.2371,23.68,82,7,7.29,clear sky
19,Busselton,AU,-33.65,115.3333,71.64,84,87,12.48,light rain
20,Pemangkat,ID,1.1667,108.9667,85.55,69,31,10.22,scattered clouds
21,Pevek,RU,69.7008,170.3133,-8.52,99,70,2.68,broken clouds
22,La Ronge,CA,55.1001,-105.2842,-12.5,97,6,3.53,clear sky
23,Fairbanks,US,64.8378,-147.7164,28.09,75,75,5.75,broken clouds
24,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.23,91,87,16.02,overcast clouds
25,Iqaluit,CA,63.7506,-68.5145,20.93,92,100,18.01,overcast clouds
26,Sioux Lookout,CA,50.1001,-91.917,7.48,90,100,13.02,overcast clouds
27,Kaitangata,NZ,-46.2817,169.8464,55.35,91,33,5.23,scattered clouds
28,Kapaa,US,22.0752,-159.319,73.38,70,75,20.71,broken clouds
29,Kasempa,ZM,-13.4584,25.8338,71.46,86,79,5.19,light rain
30,Belaya Gora,RU,68.5333,146.4167,8.13,88,100,11.99,overcast clouds
31,Kijang,KR,35.2442,129.2139,64.0,63,36,12.19,scattered clouds
32,Rikitea,PF,-23.1203,-134.9692,79.61,75,0,18.05,clear sky
33,Port Lincoln,AU,-34.7333,135.8667,69.42,53,0,9.8,clear sky
34,Albany,US,42.6001,-73.9662,40.35,84,100,1.01,overcast clouds
35,Denpasar,ID,-8.65,115.2167,87.46,79,20,10.36,few clouds
36,Aniva,RU,46.7144,142.5294,35.71,100,100,4.65,snow
37,Cidreira,BR,-30.1811,-50.2056,62.62,84,2,11.21,clear sky
38,Hamilton,US,39.1834,-84.5333,39.31,75,0,12.66,clear sky
39,Lompoc,US,34.6391,-120.4579,53.78,94,100,5.75,mist
40,Broome,US,42.2506,-75.833,38.66,86,100,5.75,light rain
41,Yokadouma,CM,3.5167,15.05,81.1,51,64,2.35,broken clouds
42,Vardo,NO,70.3705,31.1107,25.25,60,100,23.38,light snow
43,Yellowknife,CA,62.456,-114.3525,-29.76,100,65,5.77,broken clouds
44,Candolim,IN,15.5181,73.7626,84.43,73,19,11.86,few clouds
45,Burnie,AU,-41.0667,145.9167,64.11,72,4,5.12,clear sky
46,Boulder City,US,35.9786,-114.8325,76.59,18,0,0.0,clear sky
47,Carnarvon,AU,-24.8667,113.6333,84.27,61,40,16.11,scattered clouds
48,Atuona,PF,-9.8,-139.0333,79.23,77,33,20.85,scattered clouds
49,Sabang,ID,5.8933,95.3214,83.35,69,0,5.1,clear sky
50,Port Macquarie,AU,-31.4333,152.9167,66.88,81,95,9.22,light rain
51,Nhulunbuy,AU,-12.2333,136.7667,84.81,70,100,11.5,light rain
52,Jamestown,US,42.097,-79.2353,38.79,73,100,6.91,mist
53,Upernavik,GL,72.7868,-56.1549,-0.67,95,100,7.31,overcast clouds
54,Santa Rosa,PH,14.3122,121.1114,93.11,56,12,14.36,few clouds
55,Lasa,IT,46.6166,10.7002,43.02,72,6,1.12,clear sky
56,Tual,ID,-5.6667,132.75,81.75,79,100,15.03,overcast clouds
57,Svetlaya,RU,46.5389,138.3297,33.04,99,100,10.87,light snow
58,Mar Del Plata,AR,-38.0023,-57.5575,65.08,95,100,17.0,overcast clouds
59,Urengoy,RU,65.9667,78.3667,18.03,93,100,22.35,light snow
60,Fortuna,US,40.5982,-124.1573,46.65,94,0,5.75,clear sky
61,Port Elizabeth,ZA,-33.918,25.5701,70.09,69,0,4.61,clear sky
62,Padang,ID,-0.9492,100.3543,87.85,57,29,7.58,scattered clouds
